"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.408703758E0,-7.664203644E-3,4.091320038E-1,-2.609205246E-2
1.413662768E0,-6.713843346E-2,4.674563408E-1,1.984581947E-1
1.418623758E0,-1.234521866E-1,4.561467171E-1,2.408080101E-1
1.423531258E0,-1.631280184E-1,4.494857788E-1,1.563162804E-1
1.428538966E0,-1.773076057E-1,3.734383583E-1,9.545707703E-2
1.433519018E0,-1.875209808E-1,3.522992134E-1,1.344919205E-1
1.438478654E0,-2.102478743E-1,3.383297920E-1,1.898241043E-1
1.443437247E0,-2.234921455E-1,2.982120514E-1,2.735886574E-1
1.448400008E0,-2.604939938E-1,2.677588463E-1,2.926397324E-1
1.453386258E0,-2.420220375E-1,2.327280045E-1,3.571906090E-1
1.458415685E0,-2.253649235E-1,1.763701439E-1,3.525528908E-1
1.463474435E0,-2.196052074E-1,1.654210091E-1,3.934717178E-1
1.468559070E0,-2.292568684E-1,1.257224083E-1,3.987002373E-1
1.473591414E0,-2.347337008E-1,1.597485542E-1,3.706531525E-1
1.478673081E0,-2.526330948E-1,1.670064926E-1,3.643155098E-1
1.483706779E0,-2.162721157E-1,1.692786217E-1,3.774046898E-1
1.488790216E0,-1.826581955E-1,1.856193542E-1,3.884577751E-1
1.493824227E0,-7.342338562E-2,2.662730217E-1,3.784737587E-1
1.498881466E0,-9.404408932E-2,3.299612999E-1,3.475732803E-1
1.503965789E0,-5.315279961E-2,3.625082970E-1,3.078465462E-1
1.508999695E0,-1.018066406E-1,4.619407654E-1,2.807307243E-1
1.514085060E0,-1.298898458E-1,5.158338547E-1,1.945443153E-1
1.519118810E0,-1.594139338E-1,5.172238350E-1,1.710686684E-1
1.524126102E0,-1.881929636E-1,5.403862000E-1,2.364158630E-1
1.529154227E0,-2.090646029E-1,5.541996956E-1,2.733335495E-1
1.534213341E0,-2.103830576E-1,5.300183296E-1,2.722473145E-1
1.539271466E0,-1.999317408E-1,5.395202637E-1,3.643264771E-1
1.544329279E0,-2.231930494E-1,5.659480095E-1,4.443078041E-1
1.549388133E0,-2.373123169E-1,5.590038300E-1,4.762406349E-1
1.554442404E0,-2.588802576E-1,5.592355728E-1,4.912109375E-1
